0,1,2,3,4,5,6
Quarterly Results of Kotak Mahindra Bank (in Rs. Cr.),Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,4581.10,4413.02,4636.56,4710.78,4975.75,
(b) Income on Investment,1698.41,1743.07,1797.09,1803.90,1489.35,
(c) Int. on balances With RBI,139.81,233.04,297.59,259.95,384.16,
others,60.46,59.73,59.30,61.42,62.60,
Other Income,1583.03,1949.53,1334.38,1452.03,773.54,
EXPENDITURE,,,,,,
Interest Expended,2538.13,2606.05,2783.72,2922.84,3188.01,
Employees Cost,1082.30,868.90,959.28,990.07,910.88,
Other Expenses,1321.32,1515.95,1298.58,1077.68,962.80,
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,3121.06,3407.49,3083.34,3297.49,2623.71,
Provisions And Contingencies,934.77,1179.41,599.03,368.59,962.01,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,2186.29,2228.08,2484.31,2928.90,1661.70,
Tax,544.37,545.71,630.77,744.42,417.25,
P/L After Tax from Ordinary Activities,1641.92,1682.37,1853.54,2184.48,1244.45,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1641.92,1682.37,1853.54,2184.48,1244.45,
Equity Share Capital,991.34,990.92,990.24,989.60,989.40,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,--,--,--,--,--,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,8.28,8.29,9.36,11.04,6.43,
Diluted EPS,8.28,8.28,9.36,11.04,6.42,
EPS After Extra Ordinary,,,,,,
Basic EPS.,8.28,8.29,9.36,11.04,6.43,
Diluted EPS.,8.28,8.28,9.36,11.04,6.42,
NPA Ratios :,,,,,,
i) Gross NPA,7931.77,7425.51,4928.04,5335.95,5619.33,
ii) Net NPA,2792.29,2705.17,1064.02,1303.78,1777.10,
i) % of Gross NPA,3.56,3.25,2.26,2.55,2.70,
ii) % of Net NPA,1.28,1.21,0.50,0.64,0.87,
Return on Assets %,0.43,0.43,0.49,0.59,0.34,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
yrc,202106,202103,202012,202009,202006,
