0,1,2,3,4,5,6
Quarterly Results of Larsen & Toubro (in Rs. Cr.),Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,
Net Sales/Income from operations,14387.51,14509.51,12555.06,20293.83,15429.36,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,14387.51,14509.51,12555.06,20293.83,15429.36,
EXPENDITURE,,,,,,
Consumption of Raw Materials,1927.94,2715.94,2880.07,3448.98,2820.36,
Purchase of Traded Goods,464.11,469.54,476.95,607.86,516.58,
Increase/Decrease in Stocks,18.32,-405.17,-1289.01,822.06,-512.92,
Power & Fuel,--,--,--,--,--,
Employees Cost,1068.15,1579.29,1168.76,1134.39,1048.52,
depreciat,199.17,216.36,210.28,222.21,200.35,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,458.86,798.84,565.66,509.32,469.14,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,8775.30,7949.37,7681.15,11320.36,9612.75,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1475.66,1185.34,861.20,2228.65,1274.58,
Other Income,446.78,449.42,472.60,374.38,530.18,
"P/L Before Int., Excpt. Items & Tax",1922.44,1634.76,1333.80,2603.03,1804.76,
Interest,290.85,242.76,245.28,280.99,237.98,
P/L Before Exceptional Items & Tax,1631.59,1392.00,1088.52,2322.04,1566.78,
Exceptional Items,104.39,--,--,--,--,
P/L Before Tax,1735.98,1392.00,1088.52,2322.04,1566.78,
Tax,495.28,414.49,332.49,552.82,445.03,
P/L After Tax from Ordinary Activities,1240.70,977.51,756.03,1769.22,1121.75,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,18.72,--,
Net Profit/(Loss) For the Period,1240.70,977.51,756.03,1787.94,1121.75,
Equity Share Capital,185.21,185.05,123.25,123.08,122.98,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,13.40,10.57,8.18,28.75,18.26,
Diluted EPS,13.32,10.52,8.13,28.56,18.11,
EPS After Extra Ordinary,,,,,,
Basic EPS.,13.40,10.57,8.18,29.06,18.26,
Diluted EPS.,13.32,10.52,8.13,28.86,18.11,
Public Share Holding,,,,,,
No Of Shares (Crores),89.97,89.79,59.69,59.33,59.40,
Share Holding (%),97.15,97.04,96.86,96.42,96.60,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
