0,1,2,3,4,5,6
Quarterly Results of Wipro (in Rs. Cr.),Jun '11,Mar '11,Dec '10,Sep '10,Jun '10,
Net Sales/Income from operations,7311.30,7178.40,6623.40,6556.90,5982.20,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,7311.30,7178.40,6623.40,6556.90,5982.20,
EXPENDITURE,,,,,,
Consumption of Raw Materials,331.70,361.30,199.30,288.00,237.10,
Purchase of Traded Goods,957.10,757.40,711.80,634.30,--,
Increase/Decrease in Stocks,-126.10,-79.10,-19.10,88.30,-21.70,
Power & Fuel,--,--,--,--,--,
Employees Cost,3039.70,2914.60,2729.10,2757.70,2535.80,
depreciat,174.00,170.60,154.10,139.40,136.10,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,805.10,860.50,796.40,767.40,698.70,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,763.40,792.00,730.40,658.30,1141.60,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1366.40,1401.10,1321.40,1223.50,1254.60,
Other Income,210.40,210.70,164.20,136.80,128.80,
"P/L Before Int., Excpt. Items & Tax",1576.80,1611.80,1485.60,1360.30,1383.40,
Interest,78.90,31.40,30.70,-1.60,75.50,
P/L Before Exceptional Items & Tax,1497.90,1580.40,1454.90,1361.90,1307.90,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,1497.90,1580.40,1454.90,1361.90,1307.90,
Tax,278.60,242.80,231.20,189.80,197.90,
P/L After Tax from Ordinary Activities,1219.30,1337.60,1223.70,1172.10,1110.00,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1219.30,1337.60,1223.70,1172.10,1110.00,
Equity Share Capital,491.10,490.90,490.70,490.40,489.90,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,5.00,5.48,5.02,4.81,--,
Diluted EPS,4.97,5.46,5.00,4.80,--,
EPS After Extra Ordinary,,,,,,
Basic EPS.,5.00,5.48,5.02,4.81,--,
Diluted EPS.,4.97,5.46,5.00,4.80,--,
Public Share Holding,,,,,,
No Of Shares (Crores),46.86,46.72,46.65,46.50,46.29,
Share Holding (%),19.08,19.03,19.01,18.96,18.90,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,194.57,194.60,194.57,194.60,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,100.00,100.00,100.00,100.00,--,
- Per. of shares (as a % of the total Share Cap. of the company).,79.23,79.28,79.31,79.36,--,
