0,1,2,3,4,5,6
Quarterly Results of Titan Company (in Rs. Cr.),Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,
Net Sales/Income from operations,12581.00,16053.00,12268.00,11105.00,10047.00,
Other Operating Income,896.00,44.00,947.00,948.00,1210.00,
Total Income From Operations,13477.00,16097.00,13215.00,12053.00,11257.00,
EXPENDITURE,,,,,,
Consumption of Raw Materials,13220.00,8784.00,12489.00,9412.00,8664.00,
Purchase of Traded Goods,1642.00,1550.00,1686.00,1494.00,1284.00,
Increase/Decrease in Stocks,-4307.00,2673.00,-3525.00,-1378.00,-1077.00,
Power & Fuel,--,--,--,--,--,
Employees Cost,447.00,444.00,410.00,416.00,375.00,
depreciat,144.00,135.00,132.00,126.00,120.00,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,247.00,280.00,250.00,202.00,181.00,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,790.00,856.00,772.00,696.00,721.00,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1294.00,1375.00,1001.00,1085.00,989.00,
Other Income,117.00,131.00,127.00,118.00,150.00,
"P/L Before Int., Excpt. Items & Tax",1411.00,1506.00,1128.00,1203.00,1139.00,
Interest,204.00,186.00,195.00,182.00,162.00,
P/L Before Exceptional Items & Tax,1207.00,1320.00,933.00,1021.00,977.00,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,1207.00,1320.00,933.00,1021.00,977.00,
Tax,337.00,330.00,228.00,251.00,191.00,
P/L After Tax from Ordinary Activities,870.00,990.00,705.00,770.00,786.00,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,870.00,990.00,705.00,770.00,786.00,
Equity Share Capital,89.00,89.00,89.00,89.00,89.00,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,9.81,11.16,7.95,8.68,8.87,
Diluted EPS,9.80,11.16,7.94,8.68,8.87,
EPS After Extra Ordinary,,,,,,
Basic EPS.,9.81,11.16,7.95,8.68,8.87,
Diluted EPS.,9.80,11.16,7.94,8.68,8.87,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
