0,1,2,3,4,5,6
Quarterly Results of Axis Bank (in Rs. Cr.),Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,8319.81,8093.40,7529.37,7344.01,7073.78,
(b) Income on Investment,2436.28,2420.80,2292.82,2188.87,2475.10,
(c) Int. on balances With RBI,57.59,63.84,68.76,91.59,71.06,
others,300.22,320.92,302.38,335.14,316.20,
Other Income,2738.28,2694.01,2337.78,2041.40,2298.27,
EXPENDITURE,,,,,,
Interest Expended,6596.98,6346.37,6031.27,5897.52,5879.91,
Employees Cost,963.18,907.88,829.54,829.31,809.28,
Other Expenses,1822.65,1940.19,1685.24,1646.23,1453.15,
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,4469.37,4398.53,3985.06,3627.95,4092.07,
Provisions And Contingencies,2117.17,1168.33,712.59,707.17,1121.77,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,2352.20,3230.20,3272.47,2920.78,2970.30,
Tax,796.67,1075.92,1097.17,1005.14,991.86,
P/L After Tax from Ordinary Activities,1555.53,2154.28,2175.30,1915.64,1978.44,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1555.53,2154.28,2175.30,1915.64,1978.44,
Equity Share Capital,477.46,476.57,475.78,475.59,475.06,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,--,--,--,--,--,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,6.52,9.05,9.15,8.06,8.34,
Diluted EPS,6.49,9.01,9.09,8.00,8.27,
EPS After Extra Ordinary,,,,,,
Basic EPS.,6.52,9.05,9.15,8.06,8.34,
Diluted EPS.,6.49,9.01,9.09,8.00,8.27,
NPA Ratios :,,,,,,
i) Gross NPA,9553.17,6087.51,5724.05,4451.11,4251.18,
ii) Net NPA,4010.23,2522.14,2514.09,1543.62,1461.29,
i) % of Gross NPA,2.54,1.67,1.68,1.38,1.38,
ii) % of Net NPA,1.08,0.70,0.75,0.48,0.48,
Return on Assets %,1.19,1.68,1.79,1.64,1.78,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,158.35,159.12,
Share Holding (%),--,--,--,66.59,66.99,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,70.26,69.34,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,100.00,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,29.54,29.19,
yrc,201606,201603,201512,201509,201506,
