0,1,2,3,4,5,6
Quarterly Results of Axis Bank (in Rs. Cr.),Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,8406.31,8210.58,8262.56,8156.41,8386.18,
(b) Income on Investment,2432.03,2417.87,2389.29,2416.67,2380.58,
(c) Int. on balances With RBI,86.38,112.69,165.28,204.22,76.75,
others,310.36,311.35,351.02,323.70,315.60,
Other Income,2585.54,2999.81,3013.16,3400.21,2539.66,
EXPENDITURE,,,,,,
Interest Expended,6695.46,6436.35,6439.55,6767.27,6645.24,
Employees Cost,1082.84,1088.25,947.97,991.88,988.83,
Other Expenses,2265.00,2236.54,2419.05,2101.83,1964.52,
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,3777.32,4291.16,4374.74,4640.23,4100.18,
Provisions And Contingencies,3140.41,2341.93,2581.25,3795.80,3622.74,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,636.91,1949.23,1793.49,844.43,477.44,
Tax,204.53,643.63,568.39,264.86,158.36,
P/L After Tax from Ordinary Activities,432.38,1305.60,1225.10,579.57,319.08,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,432.38,1305.60,1225.10,579.57,319.08,
Equity Share Capital,479.53,479.40,479.01,478.28,477.95,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,--,--,--,--,--,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,1.80,5.45,5.12,2.42,1.34,
Diluted EPS,1.80,5.43,5.10,2.41,1.33,
EPS After Extra Ordinary,,,,,,
Basic EPS.,1.80,5.45,5.12,2.42,1.34,
Diluted EPS.,1.80,5.43,5.10,2.41,1.33,
NPA Ratios :,,,,,,
i) Gross NPA,27402.32,22030.87,21280.48,20466.82,16378.65,
ii) Net NPA,14052.34,9765.98,8626.55,8294.78,7761.15,
i) % of Gross NPA,5.90,5.03,5.04,5.22,4.17,
ii) % of Net NPA,3.12,2.30,2.11,2.18,2.02,
Return on Assets %,0.27,0.87,0.84,0.39,0.23,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
yrc,201709,201706,201703,201612,201609,
