0,1,2,3,4,5,6
Quarterly Results of Bajaj Finserv (in Rs. Cr.),Jun '11,Mar '11,Dec '10,Sep '10,Jun '10,
Net Sales/Income from operations,25.70,18.86,24.26,47.66,29.03,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,25.70,18.86,24.26,47.66,29.03,
EXPENDITURE,,,,,,
Consumption of Raw Materials,--,--,--,--,--,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,--,--,--,--,--,
Power & Fuel,--,--,--,--,--,
Employees Cost,1.84,3.14,1.29,1.26,1.79,
depreciat,0.59,1.11,2.46,3.20,3.26,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,4.49,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,6.36,5.99,1.52,6.17,6.10,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",16.91,8.62,14.50,37.03,17.88,
Other Income,1.85,2.11,2.49,0.86,0.79,
"P/L Before Int., Excpt. Items & Tax",18.76,10.73,16.99,37.89,18.67,
Interest,--,--,--,--,--,
P/L Before Exceptional Items & Tax,18.76,10.73,16.99,37.89,18.67,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,18.76,10.73,16.99,37.89,18.67,
Tax,6.55,8.91,5.84,14.01,6.25,
P/L After Tax from Ordinary Activities,12.21,1.82,11.15,23.88,12.42,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,139.07,--,--,--,
Net Profit/(Loss) For the Period,12.21,140.89,11.15,23.88,12.42,
Equity Share Capital,72.34,72.34,72.34,72.34,72.34,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,0.80,9.70,0.80,--,0.90,
Diluted EPS,0.80,9.70,0.80,--,0.90,
EPS After Extra Ordinary,,,,,,
Basic EPS.,0.80,9.70,0.80,--,0.90,
Diluted EPS.,0.80,9.70,0.80,--,0.90,
Public Share Holding,,,,,,
No Of Shares (Crores),6.01,6.01,1.63,6.23,6.43,
Share Holding (%),41.53,41.53,44.49,43.06,44.46,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,0.01,--,--,0.05,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,0.08,--,--,0.67,
- Per. of shares (as a % of the total Share Cap. of the company),--,0.04,--,--,0.37,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,8.45,0.84,2.03,--,7.97,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,100.00,99.92,100.00,--,99.33,
- Per. of shares (as a % of the total Share Cap. of the company).,58.41,58.37,55.51,--,55.07,
