0,1,2,3,4,5,6
Quarterly Results of Sun Pharmaceutical Industries (in Rs. Cr.),Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,
Net Sales/Income from operations,5285.29,4862.16,3988.22,3770.66,4143.15,
Other Operating Income,--,70.72,18.66,--,--,
Total Income From Operations,5285.29,4932.88,4006.88,3770.66,4143.15,
EXPENDITURE,,,,,,
Consumption of Raw Materials,1397.49,1329.52,1286.24,1127.05,1092.30,
Purchase of Traded Goods,318.65,277.94,237.84,325.32,285.44,
Increase/Decrease in Stocks,-80.52,-15.11,-150.13,-25.10,48.42,
Power & Fuel,--,--,--,--,--,
Employees Cost,513.57,588.09,497.94,501.79,509.07,
depreciat,383.95,374.50,354.14,355.24,333.64,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,1472.93,1302.78,1135.15,1185.21,1343.65,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1279.22,1075.16,645.70,301.15,530.63,
Other Income,41.71,48.99,300.41,305.23,284.27,
"P/L Before Int., Excpt. Items & Tax",1320.93,1124.15,946.11,606.38,814.90,
Interest,92.77,87.07,91.19,85.47,103.98,
P/L Before Exceptional Items & Tax,1228.16,1037.08,854.92,520.91,710.92,
Exceptional Items,--,--,-1654.96,--,--,
P/L Before Tax,1228.16,1037.08,-800.04,520.91,710.92,
Tax,15.15,25.28,486.17,5.48,-98.15,
P/L After Tax from Ordinary Activities,1213.01,1011.80,-1286.21,515.43,809.07,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1213.01,1011.80,-1286.21,515.43,809.07,
Equity Share Capital,239.93,239.93,239.93,239.93,239.93,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,5.10,4.20,-5.40,2.10,3.40,
Diluted EPS,5.10,4.20,-5.40,2.10,3.40,
EPS After Extra Ordinary,,,,,,
Basic EPS.,5.10,4.20,-5.40,2.10,3.40,
Diluted EPS.,5.10,4.20,-5.40,2.10,3.40,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
