0,1,2,3,4,5,6
Profit & Loss account of Maruti Suzuki India (in Rs. Cr.),Mar 15,Mar 14,Mar 13,Mar 12,Mar 11,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Revenue From Operations [Gross],53768.50,47822.80,48114.70,38614.10,40102.10,
Less: Excise/Sevice Tax/Other Levies,5163.00,5178.00,5502.10,3908.20,4253.10,
Revenue From Operations [Net],48605.50,42644.80,42612.60,34705.90,35849.00,
Total Operating Revenues,49970.60,43700.60,43587.90,35587.10,36618.40,
Other Income,831.60,822.90,812.40,826.80,508.80,
Total Revenue,50802.20,44523.50,44400.30,36413.90,37127.20,
EXPENSES,,,,,,
Cost Of Materials Consumed,32867.80,28898.90,30349.20,26707.00,27141.80,
Purchase Of Stock-In Trade,2665.20,2431.40,2186.40,1532.50,1278.10,
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
"Changes In Inventories Of FG,WIP And Stock-In Trade",-455.90,18.50,23.40,-131.20,-56.00,
Employee Benefit Expenses,1606.60,1368.10,1069.60,843.80,703.60,
Finance Costs,206.00,175.90,189.80,55.20,25.00,
Depreciation And Amortisation Expenses,2470.30,2084.40,1861.20,1138.40,1013.50,
Other Expenses,6643.10,5922.10,5773.50,4164.70,3938.10,
Total Expenses,45934.00,40865.00,41409.30,34267.70,34018.40,
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",4868.20,3658.50,2991.00,2146.20,3108.80,
Exceptional Items,0.00,0.00,0.00,0.00,0.00,
Profit/Loss Before Tax,4868.20,3658.50,2991.00,2146.20,3108.80,
Tax Expenses-Continued Operations,,,,,,
Current Tax,1302.60,747.90,722.80,413.80,810.10,
Less: MAT Credit Entitlement,70.40,0.00,90.40,0.00,0.00,
Deferred Tax,-75.20,127.60,-33.50,97.20,10.10,
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
Total Tax Expenses,1157.00,875.50,598.90,511.00,820.20,
Profit/Loss After Tax And Before ExtraOrdinary Items,3711.20,2783.00,2392.10,1635.20,2288.60,
Profit/Loss From Continuing Operations,3711.20,2783.00,2392.10,1635.20,2288.60,
Profit/Loss For The Period,3711.20,2783.00,2392.10,1635.20,2288.60,
OTHER ADDITIONAL INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),123.00,92.13,79.19,57.00,79.00,
Diluted EPS (Rs.),123.00,92.13,79.19,57.00,79.00,
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Raw Materials,2395.30,2657.10,3677.60,2831.10,2930.70,
Indigenous Raw Materials,30472.50,26241.80,26671.60,23875.90,24211.10,
"STORES, SPARES AND LOOSE TOOLS",,,,,,
Imported Stores And Spares,51.90,46.50,70.70,9.10,10.10,
Indigenous Stores And Spares,306.60,247.50,287.00,82.00,60.10,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
Equity Share Dividend,755.20,362.50,241.70,216.70,216.70,
Tax On Dividend,153.80,61.60,41.10,35.10,35.10,
Equity Dividend Rate (%),500.00,240.00,160.00,150.00,150.00,
