0,1,2,3,4,5,6
Quarterly Results of Kotak Mahindra Bank (in Rs. Cr.),Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,5282.82,5252.84,5288.32,5187.41,4977.59,
(b) Income on Investment,1300.93,1322.96,1355.79,1277.57,1234.47,
(c) Int. on balances With RBI,154.45,87.47,40.27,99.05,103.24,
others,66.48,72.33,77.22,75.85,86.97,
Other Income,1489.39,1341.43,1224.41,1304.73,1270.29,
EXPENDITURE,,,,,,
Interest Expended,3245.03,3306.07,3412.01,3466.84,3354.40,
Employees Cost,969.59,1091.52,915.01,901.51,856.74,
Other Expenses,1354.17,1291.37,1150.43,1177.34,1179.16,
Depreciation,--,--,--,--,--,
Operating Profit before Provisions and contingencies,2725.28,2388.07,2508.56,2398.92,2282.26,
Provisions And Contingencies,1047.47,444.00,407.93,316.76,171.26,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,1677.81,1944.07,2100.63,2082.16,2111.00,
Tax,411.21,348.17,376.15,721.96,703.20,
P/L After Tax from Ordinary Activities,1266.60,1595.90,1724.48,1360.20,1407.80,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,1266.60,1595.90,1724.48,1360.20,1407.80,
Equity Share Capital,956.52,955.52,955.01,954.67,954.38,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
ANALYTICAL RATIOS,,,,,,
a) % of Share by Govt.,--,--,--,--,--,
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,6.37,8.35,9.03,7.13,7.38,
Diluted EPS,6.36,8.34,9.02,7.12,7.37,
EPS After Extra Ordinary,,,,,,
Basic EPS.,6.37,8.35,9.03,7.13,7.38,
Diluted EPS.,6.36,8.34,9.02,7.12,7.37,
NPA Ratios :,,,,,,
i) Gross NPA,5026.89,5413.20,5033.55,4613.52,4467.94,
ii) Net NPA,1557.89,1925.08,1811.40,1524.38,1544.37,
i) % of Gross NPA,2.25,2.46,2.32,2.19,2.14,
ii) % of Net NPA,0.71,0.89,0.85,0.73,0.75,
Return on Assets %,0.38,0.50,0.55,0.44,0.46,
Public Share Holding,,,,,,
No Of Shares (Crores),--,--,--,--,--,
Share Holding (%),--,--,--,--,--,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
yrc,202003,201912,201909,201906,201903,
