0,1,2,3,4,5,6
Quarterly Results of Maruti Suzuki India (in Rs. Cr.),Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,
Net Sales/Income from operations,10619.68,10211.83,9995.12,13056.26,10956.95,
Other Operating Income,274.16,256.23,242.22,247.75,243.39,
Total Income From Operations,10893.84,10468.06,10237.34,13304.01,11200.34,
EXPENDITURE,,,,,,
Consumption of Raw Materials,7020.36,6896.79,6876.21,8225.73,8376.04,
Purchase of Traded Goods,617.62,598.09,564.07,440.35,566.84,
Increase/Decrease in Stocks,163.40,-230.52,-74.67,63.45,-158.73,
Power & Fuel,--,--,--,--,--,
Employees Cost,299.66,372.33,295.11,387.45,241.23,
depreciat,541.38,499.17,480.16,815.89,358.33,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,1438.01,1509.94,1410.46,2187.42,1283.69,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",813.41,822.26,686.00,1183.72,532.94,
Other Income,116.95,101.02,204.30,398.99,188.62,
"P/L Before Int., Excpt. Items & Tax",930.36,923.28,890.30,1582.71,721.56,
Interest,44.80,43.39,44.23,72.64,45.93,
P/L Before Exceptional Items & Tax,885.56,879.89,846.07,1510.07,675.63,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,885.56,879.89,846.07,1510.07,675.63,
Tax,204.41,209.66,214.46,270.45,174.34,
P/L After Tax from Ordinary Activities,681.15,670.23,631.61,1239.62,501.29,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,--,--,--,--,--,
Net Profit/(Loss) For the Period,681.15,670.23,631.61,1239.62,501.29,
Equity Share Capital,151.04,151.04,151.04,151.04,144.46,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,22.55,22.19,20.91,41.04,17.35,
Diluted EPS,22.55,22.19,20.91,41.04,17.35,
EPS After Extra Ordinary,,,,,,
Basic EPS.,22.55,22.19,20.91,41.04,17.35,
Diluted EPS.,22.55,22.19,20.91,41.04,17.35,
Public Share Holding,,,,,,
No Of Shares (Crores),13.23,13.23,13.23,13.23,13.23,
Share Holding (%),43.79,43.79,43.79,43.79,45.79,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,16.98,16.98,16.98,16.98,15.66,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,100.00,100.00,100.00,100.00,100.00,
- Per. of shares (as a % of the total Share Cap. of the company).,56.21,56.21,56.21,56.21,54.21,
