0,1,2,3,4,5,6
Quarterly Results of Sun Pharmaceutical Industries (in Rs. Cr.),Dec '08,Sep '08,Jun '08,Mar '08,Dec '07,
Net Sales/Income from operations,862.93,929.37,670.81,581.64,733.91,
Other Operating Income,--,--,--,--,--,
Total Income From Operations,862.93,929.37,670.81,581.64,733.91,
EXPENDITURE,,,,,,
Consumption of Raw Materials,173.49,162.19,164.79,153.59,157.88,
Purchase of Traded Goods,--,--,--,--,--,
Increase/Decrease in Stocks,-32.69,2.57,17.27,-3.02,-3.61,
Power & Fuel,--,--,--,--,--,
Employees Cost,46.62,48.12,44.50,36.79,35.68,
depreciat,14.40,14.60,14.28,14.83,14.05,
Excise Duty,--,--,--,--,--,
Admin. And Selling Expenses,--,--,--,--,--,
R & D Expenses,--,--,--,--,--,
Provisions And Contingencies,--,--,--,--,--,
Exp. Capitalised,--,--,--,--,--,
Other Expenses,435.91,451.51,403.48,372.82,391.53,
"P/L Before Other Inc. , Int., Excpt. Items & Tax",225.20,250.38,26.49,6.63,138.38,
Other Income,3.85,30.23,261.34,248.31,226.42,
"P/L Before Int., Excpt. Items & Tax",229.05,280.61,287.83,254.94,364.80,
Interest,-32.98,-29.66,--,--,--,
P/L Before Exceptional Items & Tax,262.03,310.27,287.83,254.94,364.80,
Exceptional Items,--,--,--,--,--,
P/L Before Tax,262.03,310.27,287.83,254.94,364.80,
Tax,--,7.13,7.05,7.05,18.87,
P/L After Tax from Ordinary Activities,262.03,303.14,280.78,247.89,345.93,
Prior Year Adjustments,--,--,--,--,--,
Extra Ordinary Items,-5.35,--,--,--,--,
Net Profit/(Loss) For the Period,256.68,303.14,280.78,247.89,345.93,
Equity Share Capital,103.56,103.56,103.56,103.56,100.72,
Reserves Excluding Revaluation Reserves,--,--,--,--,--,
Equity Dividend Rate (%),--,--,--,--,--,
EPS Before Extra Ordinary,,,,,,
Basic EPS,12.39,14.64,13.56,11.97,17.17,
Diluted EPS,--,--,--,--,--,
EPS After Extra Ordinary,,,,,,
Basic EPS.,12.39,14.64,13.56,11.97,17.17,
Diluted EPS.,--,--,--,--,--,
Public Share Holding,,,,,,
No Of Shares (Crores),7.52,7.52,7.52,7.52,6.94,
Share Holding (%),36.29,36.29,36.28,36.29,34.45,
Promoters and Promoter Group Shareholding,,,,,,
a) Pledged/Encumbered,,,,,,
- Number of shares (Crores),--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,
b) Non-encumbered,,,,,,
- Number of shares (Crores).,--,--,--,--,--,
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,
